pubchem_id,common_name,iupac_name,smile,inchi,taste,odor,flavor_profile,fema_flavor_profile,fooddb_flavor_profile,bitter,super_sweet,bitterdb_id,flavornet_id,fooddb_id,supersweetdb_id,fema_number,cas_id,functional_groups,bond_stereo_count,undefined_atom_stereocenter_count,heavy_atom_count,hba_count,hbd_count,synthetic,natural,charge,isotope_atom_count,molecular_weight,fenoroli_and_os,exact_mass,volume3d,unknown_natural,covalently_bonded_unit_count,undefined_bond_stereocenter_count,num_rotatablebonds,defined_bond_stereocenter_count,xlogp,topological_polor_surfacearea,defined_atom_stereocenter_count,atom_stereo_count,complexity,monoisotopic_mass,has_odor,one_tag,has_bitter,no_sweet,has_sweet,fruity,green,floral,woody,herbal,only_sweet,sweet_and_something_else
5372954,cis-Cinnamic acid,(Z)-3-phenylprop-2-enoic acid,C1=CC=C(C=C1)C=CC(=O)O,"InChI=1S/C9H8O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-7H,(H,10,11)/b7-6-",,,"['sweet', 'honey', 'balsam', 'storax', 'cinnamon']",,sweet@honey@balsam@storax@cinnamon,0,,,0,FDB012052,,,621-82-9@102-94-3,carboxylic acid derivative@carboxylic acid@alkene@aromatic compound,1,0,11,2,1,0,1,0,0,148.161,0,148.052,121.3,0,1,0,2,1,2.1,37.3,0,0,155.0,148.052,-1,0,0,0,1,0,0,0,0,0,0,1
5373729,beta-Ionol,"(E)-4-(2,6,6-trimethylcyclohexen-1-yl)but-3-en-2-ol",CC1=C(C(CCC1)(C)C)C=CC(C)O,"InChI=1S/C13H22O/c1-10-6-5-9-13(3,4)12(10)8-7-11(2)14/h7-8,11,14H,5-6,9H2,1-4H3/b8-7+",,,"['herbal', 'floral', 'sweet', 'woody', 'tropical', 'balsam', 'violet']",Floral,herbal@floral@sweet@woody@tropical@balsam@violet,0,,,0,FDB015768,,3625,22029-76-1@472-80-0,hydroxy compound@alcohol@secondary alcohol@alkene,1,1,14,1,1,0,1,0,0,194.318,1,194.167,169.1,0,1,0,2,1,2.9,20.2,0,1,258.0,194.167,-1,0,0,0,1,0,0,0,0,0,0,1
5463840,"Benzaldehyde, cyclic acetal with 1,2,3-propanetriol","(Z)-4-phenylbut-3-ene-1,2,3-triol",C1=CC=C(C=C1)C=C(C(CO)O)O,"InChI=1S/C10H12O3/c11-7-10(13)9(12)6-8-4-2-1-3-5-8/h1-6,10-13H,7H2/b9-6-",,,"['cherry', 'almond', 'bitter', 'sweet']",Fruit,cherry@almond@bitter@sweet,1,,,0,FDB009014,,2129,1319-88-6,"enol@hydroxy compound@alcohol@primary alcohol@secondary alcohol@1,2-diol@aromatic compound",1,1,13,3,3,0,0,0,0,180.203,1,180.079,144.4,0,1,0,3,1,0.5,60.7,0,1,171.0,180.079,-1,0,0,0,1,0,0,0,0,0,0,1
5797328,beta-Ionyl acetate,"[(E)-4-(2,6,6-trimethylcyclohexen-1-yl)but-3-en-2-yl] acetate",CC1=C(C(CCC1)(C)C)C=CC(C)OC(=O)C,"InChI=1S/C15H24O2/c1-11-7-6-10-15(4,5)14(11)9-8-12(2)17-13(3)16/h8-9,12H,6-7,10H2,1-5H3/b9-8+",,,"['berry', 'jam', 'sweet', 'woody', 'raspberry', 'violet']",Floral,berry@jam@sweet@woody@raspberry@violet,0,,,0,FDB017237,,3844,22030-19-9,carboxylic acid derivative@carboxylic acid ester@alkene,1,1,17,2,0,0,0,0,0,236.355,1,236.178,200.0,0,1,0,4,1,3.5,26.3,0,1,348.0,236.178,-1,0,0,0,1,0,0,0,1,0,0,1
5803450,alpha-Methylanisalacetone,(E)-1-(4-methoxyphenyl)pent-1-en-3-one,CCC(=O)C=CC1=CC=C(C=C1)OC,"InChI=1S/C12H14O2/c1-3-11(13)7-4-10-5-8-12(14-2)9-6-10/h4-9H,3H2,1-2H3/b7-4+",,,"['powdery', 'vanilla', 'anisic', 'heliotrope', 'sweet', 'fruity', 'cherry', 'almond', 'dry']",Floral,powdery@vanilla@anisic@heliotrope@sweet@fruity@cherry@almond@dry,0,,,0,FDB002870,,2673,82297-64-1@104-27-8,carbonyl compound@ketone@ether@alkyl aryl ether@alkene@aromatic compound,1,0,14,2,0,0,0,0,0,190.242,1,190.099,161.1,0,1,0,4,1,2.5,26.3,0,0,200.0,190.099,-1,0,0,0,1,1,0,0,0,0,0,1
5869600,UNII-2W0Q53EZ7G,(7E)-1-oxacycloheptadec-7-en-2-one,C1CCCCC=CCCCCC(=O)OCCCC1,"InChI=1S/C16H28O2/c17-16-14-12-10-8-6-4-2-1-3-5-7-9-11-13-15-18-16/h4,6H,1-3,5,7-15H2/b6-4+",,,"['berry', 'amber', 'sweet', 'fruity', 'soapy']",,berry@amber@sweet@fruity@soapy,0,,,0,FDB016950,,,7779-50-2@223104-10-7,carboxylic acid derivative@carboxylic acid ester@lactone@alkene@heterocyclic compound,1,0,18,2,0,0,0,0,0,252.398,0,252.209,218.3,0,1,0,0,1,5.5,26.3,0,0,233.0,252.209,-1,0,0,0,1,1,0,0,0,0,0,1
6086514,Geranyl isobutyrate,"[(2E)-3,7-dimethylocta-2,6-dienyl] 2-methylpropanoate",CC(C)C(=O)OCC=C(C)CCC=C(C)C,"InChI=1S/C14H24O2/c1-11(2)7-6-8-13(5)9-10-16-14(15)12(3)4/h7,9,12H,6,8,10H2,1-5H3/b13-9+",,,"['peach', 'apricot', 'rose', 'floral', 'sweet', 'fruity', 'green']",Fruit@Fruit,peach@apricot@rose@floral@sweet@fruity@green,0,,,0,FDB017554,,2513@2775,2345-26-8@2345-24-6,carboxylic acid derivative@carboxylic acid ester@alkene,1,0,16,2,0,0,1,0,0,224.344,1,224.178,197.8,0,1,0,7,1,4.5,26.3,0,0,269.0,224.178,-1,0,0,0,1,0,0,0,0,0,0,1
6165108,3-Hexenyl 2-methylbutanoate,[(E)-hex-3-enyl] 2-methylbutanoate,CCC=CCCOC(=O)C(C)CC,"InChI=1S/C11H20O2/c1-4-6-7-8-9-13-11(12)10(3)5-2/h6-7,10H,4-5,8-9H2,1-3H3/b7-6+",,,"['apple', 'pineapple', 'warm', 'herbal', 'fresh', 'sweet', 'fruity', 'green']",Fruit,apple@pineapple@warm@herbal@fresh@sweet@fruity@green,0,,,0,FDB009570,,3497,10094-41-4,carboxylic acid derivative@carboxylic acid ester@alkene,1,1,13,2,0,0,0,0,0,184.279,0,184.146,161.0,0,1,0,7,1,3.3,26.3,0,1,162.0,184.146,-1,0,0,0,1,0,0,0,0,0,0,1
6232217,Tetrahydrofurfuryl cinnamate,oxolan-2-ylmethyl (E)-3-phenylprop-2-enoate,C1CC(OC1)COC(=O)C=CC2=CC=CC=C2,"InChI=1S/C14H16O3/c15-14(17-11-13-7-4-10-16-13)9-8-12-5-2-1-3-6-12/h1-3,5-6,8-9,13H,4,7,10-11H2/b9-8+",,,"['sweet', 'cortex', 'balsam']",Fruit,sweet@cortex@balsam,0,,,0,FDB015043,,3320,65505-25-1,ether@dialkyl ether@carboxylic acid derivative@carboxylic acid ester@alkene@aromatic compound@heterocyclic compound,1,1,17,3,0,0,0,0,0,232.279,1,232.11,189.5,0,1,0,5,1,2.6,35.5,0,1,267.0,232.11,-1,0,0,0,1,0,0,0,0,0,0,1
6366072,85508-08-3,hexyl (E)-2-methylpent-3-enoate,CCCCCCOC(=O)C(C)C=CC,"InChI=1S/C12H22O2/c1-4-6-7-8-10-14-12(13)11(3)9-5-2/h5,9,11H,4,6-8,10H2,1-3H3/b9-5+",,,"['waxy', 'green', 'sweet', 'cantaloupe rind', 'tropical', 'fruity', 'spicy', 'guaiacwood']",,waxy@green@sweet@cantaloupe rind@tropical@fruity@spicy@guaiacwood,0,,,0,FDB019864,,,85508-08-3@58625-95-9,carboxylic acid derivative@carboxylic acid ester@alkene,1,1,14,2,0,0,0,0,0,198.306,1,198.162,174.7,0,1,0,8,1,4.0,26.3,0,1,173.0,198.162,-1,0,0,0,1,0,0,0,0,0,0,1
